,MRMR4,IG-784,IG-781,MRMR3,MRMR2,IG-780,IG-782,MRMR0,MRMR1,IG-783,CFS1,CFS0,CFS2,CFS3,CFS4,IG-201,IG-604,IG-200,IG-202,IG-404,IG-203,IG-401,IG-603,IG-602,IG-400,IG-204,IG-402,IG-600,IG-601,IG-403
48,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.1,0.2,0.9,0.4,0.2,0.7,0.2,0.8,0.9,0.9,0.9,0.1,0.8,1.0,1.0,0.7
49,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.4,0.6,0.5,0.7,0.3,0.0,0.7,0.1,0.0,0.4,0.0,0.2,0.6,0.6,0.4,0.2,0.3,0.5,0.5,0.5
50,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.2,0.2,0.7,0.0,0.0,0.2,0.3,0.6,0.1
51,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.2,0.3,0.1,0.2,1.0,0.2,0.2,0.7,0.0,0.6,1.0,0.9,0.4,0.1,0.8,0.8,1.0,0.9
52,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.2,0.0,0.3,0.3,0.5,0.1,0.1,0.1,0.4,0.5,0.0
53,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.3,0.1,0.2,0.7,0.4,0.1,0.0,0.3,0.4,0.6,0.4
54,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8,0.8,0.9,0.9,0.9,0.1,1.0,0.4,0.1,0.7,0.4,0.6,1.0,0.9,0.7,0.2,0.5,1.0,0.8,0.8
55,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.1,0.3,0.6,0.7,0.2,0.0,0.1,0.5,0.4,0.3
56,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.4,0.0,0.3,0.7,0.7,0.6,0.1,0.1,0.7,0.8,0.3
57,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.2,0.1,0.1,0.9,0.8,0.6,0.0,0.4,0.8,0.6,0.2
