,P_values,LowerCI,UpperCI,Coefficients
const,0.05633462956584907,-1.6437547664756766,0.02189433404314578,0.44444444444447256
WeightGroupNew_1.0,4.002692941735587e-06,1.1329422355285337,2.8080027608466516,7.174065420560284
WeightGroupNew_2.0,0.020833376721669888,0.14955428995169973,1.81963313058251,2.6767241379308633
WeightGroupNew_3.0,0.5412948251444523,-0.5815801498856313,1.1082419800826764,1.3012572533848303
WeightGroupNew_4.0,7.830122273581859e-06,1.3141101036315304,3.3665407383221284,10.384615384614728
const,4.8931254371115794e-15,0.2242586080577978,0.374024841731137,1.348700754400671
BirthOrderGrouped_1.0,0.005984441167391683,0.0420846385509655,0.2512583458536064,1.1579734972169018
BirthOrderGrouped_2.0,0.000149209654202858,0.11056220710414418,0.34707815512487705,1.2571159654924586
const,0.3030972458513822,-0.4758026662205589,0.1480269560103068,0.8488372093023175
V013_1.0,5.967991584819312e-08,0.7551322601530179,1.610693151556759,3.2638670559173906
V013_2.0,2.3499196221146366e-05,0.3806030229421739,1.0381950507758406,2.032769272092419
V013_3.0,0.00014773574584159288,0.3021622741258111,0.947683354610391,1.8681017612524635
V013_4.0,0.0007223906034381407,0.23634379149114826,0.8883269896181395,1.754765782163059
V013_5.0,0.008319737174772916,0.11483782176523638,0.7779563719064717,1.5626718754015925
V013_6.0,0.13158190277886617,-0.08247986429126125,0.6327068447219621,1.316680096696225
const,0.0021424407914480558,0.06112472828179501,0.27702793180607965,1.1842105263157934
V025,1.1558244661293352e-06,0.17625648881077977,0.41424785438520856,1.343465099715093
const,3.9941324246845956e-64,0.3774766315229201,0.47647146961536335,1.5326128907757626
ToiletNew,0.16284184165831872,-0.21158500088280074,0.035587633423178874,0.9157620821128613
const,7.608691152529465e-73,0.37435212800521084,0.4655421737989139,1.5218811234487262
HIV,0.002354757193830937,-1.1899558858977806,-0.25730324350278805,0.4849887594522789
const,9.561264193270675e-08,0.1254177688306553,0.271089532519466,1.2192716236722314
HouseholdAmenities,2.636222185954821e-13,0.2547132358694829,0.4412774092739473,1.416225625430733
const,8.747457617925198e-74,0.38479005277915657,0.4778342424397328,1.539275956284151
AnyTransportation,0.00034414017388751343,-0.5986816999959422,-0.17503907008127953,0.6791859128224791
const,0.0002850849220943005,0.0930631710847265,0.3116999486468423,1.2243150684931554
FloorNew,3.5226134858831673e-05,0.13346486493165072,0.37380678987877075,1.288702408702403
const,6.112386385491945e-48,0.32543030047869453,0.4267786255330627,1.4565992865636137
V151,0.0016515477886670223,0.06892860447670535,0.29661821208456945,1.200542344304332
const,2.5273821354376327e-10,0.1654439737908357,0.31400715402985896,1.2709003215434085
V404,1.0311362480162047e-08,0.18041513247111202,0.36822621664025895,1.3156366257914889
const,6.0897191648064694e-74,0.43531687345695375,0.5404499078252932,1.6288648980062481
