,Feature,Feature Selection,Probability
439,68,IG-60,0.62
440,69,IG-60,0.64
441,70,IG-60,0.6599999999999999
442,71,IG-60,0.7
443,72,IG-60,0.5799999999999998
444,73,IG-60,0.9800000000000001
445,74,IG-60,0.42000000000000004
446,75,IG-60,0.5800000000000001
447,76,IG-60,0.64
448,77,IG-60,0.43999999999999995
449,78,IG-60,0.6
450,79,IG-60,0.54
451,80,IG-60,1.0
452,81,IG-60,0.4999999999999999
453,82,IG-60,1.0
454,83,IG-60,0.96
455,84,IG-60,0.9800000000000001
456,85,IG-60,0.43999999999999995
457,86,IG-60,0.36
458,87,IG-60,0.5
459,88,IG-60,0.5599999999999999
460,89,IG-60,0.5
461,90,IG-60,0.52
462,91,IG-60,0.52
463,92,IG-60,0.4
464,93,IG-60,0.54
465,1,IG-40,0.29999999999999993
466,2,IG-40,0.9800000000000001
467,3,IG-40,0.8200000000000001
468,4,IG-40,0.38
469,5,IG-40,0.76
470,6,IG-40,0.44000000000000006
471,7,IG-40,0.56
472,8,IG-40,0.9399999999999998
473,9,IG-40,0.38
474,10,IG-40,1.0
475,11,IG-40,0.9400000000000001
476,12,IG-40,0.7
477,13,IG-40,0.82
478,14,IG-40,0.34
479,15,IG-40,0.64
480,16,IG-40,0.36000000000000004
481,17,IG-40,0.18
482,18,IG-40,0.2
483,19,IG-40,0.4800000000000001
484,20,IG-40,0.36
485,21,IG-40,0.27999999999999997
486,22,IG-40,0.32
487,23,IG-40,0.30000000000000004
488,24,IG-40,0.22000000000000003
489,25,IG-40,0.24
490,26,IG-40,0.26
491,27,IG-40,0.16
492,28,IG-40,0.28
493,29,IG-40,0.9199999999999999
494,30,IG-40,0.16
495,31,IG-40,0.2
496,32,IG-40,0.32
497,33,IG-40,0.76
498,34,IG-40,0.8400000000000001
499,35,IG-40,0.1
500,36,IG-40,0.44000000000000006
501,37,IG-40,0.12
502,38,IG-40,0.27999999999999997
503,39,IG-40,0.45999999999999996
504,40,IG-40,0.74
505,41,IG-40,0.26
506,42,IG-40,1.0
507,43,IG-40,0.7
508,44,IG-40,0.31999999999999995
509,45,IG-40,0.21999999999999997
510,46,IG-40,0.26
511,47,IG-40,0.36
512,48,IG-40,0.29999999999999993
513,49,IG-40,0.32
514,50,IG-40,0.24000000000000005
515,51,IG-40,0.2
516,52,IG-40,0.27999999999999997
517,53,IG-40,0.2
518,54,IG-40,0.52
519,55,IG-40,0.7599999999999999
520,56,IG-40,0.22000000000000003
521,57,IG-40,0.36
522,58,IG-40,0.26
523,59,IG-40,0.24000000000000005
524,60,IG-40,0.26
525,61,IG-40,0.42000000000000004
526,62,IG-40,0.9800000000000001
527,63,IG-40,0.24
528,64,IG-40,1.0
529,65,IG-40,0.3
530,66,IG-40,0.22000000000000003
531,67,IG-40,0.21999999999999997
532,68,IG-40,0.4
533,69,IG-40,0.3
534,70,IG-40,0.3
535,71,IG-40,0.42000000000000004
536,72,IG-40,0.30000000000000004
537,73,IG-40,0.9399999999999998
538,74,IG-40,0.16
539,75,IG-40,0.24000000000000005
540,76,IG-40,0.38
541,77,IG-40,0.16
542,78,IG-40,0.24
543,79,IG-40,0.24
544,80,IG-40,0.96
545,81,IG-40,0.22000000000000003
546,82,IG-40,1.0
547,83,IG-40,0.86
548,84,IG-40,0.96
549,85,IG-40,0.28
550,86,IG-40,0.15999999999999998
551,87,IG-40,0.28
552,88,IG-40,0.30000000000000004
553,89,IG-40,0.24000000000000005
554,90,IG-40,0.27999999999999997
555,91,IG-40,0.2
556,92,IG-40,0.22000000000000003
557,93,IG-40,0.32
558,1,Average,0.26666666666666666
559,2,Average,0.8233333333333335
560,3,Average,0.5333333333333333
561,4,Average,0.36
562,5,Average,0.49333333333333335
563,6,Average,0.38333333333333336
564,7,Average,0.44333333333333336
565,8,Average,0.5866666666666667
566,9,Average,0.3466666666666667
567,10,Average,1.0
568,11,Average,0.62
569,12,Average,0.45666666666666667
570,13,Average,0.5433333333333332
571,14,Average,0.3466666666666666
572,15,Average,0.4699999999999999
573,16,Average,0.35
574,17,Average,0.29333333333333333
575,18,Average,0.36
576,19,Average,0.43
577,20,Average,0.3266666666666667
578,21,Average,0.26999999999999996
579,22,Average,0.2833333333333333
580,23,Average,0.30333333333333334
581,24,Average,0.24666666666666667
582,25,Average,0.22999999999999998
583,26,Average,0.24666666666666665
584,27,Average,0.19
585,28,Average,0.25666666666666665
586,29,Average,0.9400000000000001
587,30,Average,0.19666666666666666
588,31,Average,0.2533333333333333
589,32,Average,0.2766666666666666
590,33,Average,0.6766666666666666
591,34,Average,0.7133333333333333
592,35,Average,0.18
593,36,Average,0.3433333333333334
594,37,Average,0.23333333333333334
595,38,Average,0.28
596,39,Average,0.46333333333333326
597,40,Average,0.6799999999999999
598,41,Average,0.24666666666666665
599,42,Average,0.8200000000000001
600,43,Average,0.6100000000000001
601,44,Average,0.29333333333333333
602,45,Average,0.22999999999999998
603,46,Average,0.21999999999999997
604,47,Average,0.29000000000000004
605,48,Average,0.2766666666666667
606,49,Average,0.26999999999999996
607,50,Average,0.28
608,51,Average,0.23333333333333334
609,52,Average,0.26
610,53,Average,0.21333333333333332
611,54,Average,0.38333333333333336
612,55,Average,0.6966666666666668
613,56,Average,0.26666666666666666
614,57,Average,0.29
615,58,Average,0.26999999999999996
616,59,Average,0.22666666666666666
617,60,Average,0.26666666666666666
618,61,Average,0.3133333333333333
619,62,Average,0.8066666666666669
620,63,Average,0.28666666666666674
621,64,Average,0.8866666666666667
622,65,Average,0.24666666666666667
623,66,Average,0.21666666666666665
624,67,Average,0.26666666666666666
625,68,Average,0.31999999999999995
626,69,Average,0.3266666666666667
627,70,Average,0.3633333333333333
628,71,Average,0.3733333333333333
629,72,Average,0.31666666666666665
630,73,Average,0.8233333333333333
631,74,Average,0.2633333333333333
632,75,Average,0.2966666666666667
633,76,Average,0.36333333333333334
634,77,Average,0.2599999999999999
635,78,Average,0.51
636,79,Average,0.3
637,80,Average,0.8
638,81,Average,0.2866666666666667
639,82,Average,1.0
640,83,Average,0.5566666666666666
641,84,Average,0.8733333333333333
642,85,Average,0.38
643,86,Average,0.25666666666666665
644,87,Average,0.30333333333333334
645,88,Average,0.4
646,89,Average,0.2966666666666667
647,90,Average,0.31666666666666665
648,91,Average,0.29333333333333333
649,92,Average,0.2266666666666667
650,93,Average,0.42666666666666664
