,IG-803,IG-802,MRMR4,IG-800,IG-801,MRMR3,IG-804,MRMR2,MRMR0,MRMR1,CFS1,CFS0,IG-934,CFS2,CFS3,IG-933,IG-932,IG-930,CFS4,IG-931,IG-201,IG-604,IG-200,IG-202,IG-404,IG-203,IG-401,IG-603,IG-602,IG-400,IG-204,IG-402,IG-600,IG-601,IG-403
75,1.0,0.9,0.0,1.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.4,0.3,0.3,0.3,0.1,0.5,0.5,0.7,0.4,0.2,0.5,0.8,0.8,0.2
76,1.0,0.8,0.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4,0.0,0.0,0.2,0.0,0.2,0.6,0.3,0.1,0.1,0.1,0.6,0.3,0.2
77,1.0,0.9,0.2,1.0,1.0,0.4,1.0,0.2,0.2,0.5,0.9,0.9,1.0,0.9,0.7,1.0,1.0,1.0,0.9,1.0,0.1,0.5,0.1,0.0,0.1,0.1,0.4,0.6,0.4,0.2,0.1,0.2,0.8,0.7,0.3
78,1.0,1.0,0.1,1.0,0.9,0.0,0.9,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.5,0.0,0.0,0.2,0.0,0.3,0.5,0.3,0.4,0.0,0.1,0.7,0.7,0.2
79,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,0.7,1.0,0.8,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.9
80,1.0,1.0,0.0,1.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3,0.1,0.0,0.0,0.0,0.2,0.6,0.5,0.4,0.0,0.2,0.7,0.4,0.3
81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.9,0.4,0.5,0.9,0.6,0.8,0.9,1.0,0.8,0.6,0.9,1.0,1.0,0.9
83,1.0,1.0,0.4,1.0,1.0,0.5,1.0,0.5,0.4,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.7,0.8,1.0,0.8,0.9,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9
84,1.0,1.0,0.2,1.0,1.0,0.4,0.9,0.5,0.4,0.6,0.0,0.1,1.0,0.2,0.0,1.0,1.0,1.0,0.1,1.0,0.2,0.4,0.2,0.0,0.3,0.0,0.2,0.6,0.2,0.4,0.0,0.2,0.7,0.3,0.3
85,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.3,0.1,0.2,0.2,0.5,0.1,0.0,0.1,0.4,0.2,0.1
86,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.1,0.1,0.2,0.0,0.1,0.3,0.7,0.4,0.0,0.6,0.6,0.4,0.1
87,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.2,0.2,0.2,0.3,0.3,1.0,0.3,0.2,1.0,1.0,1.0,0.6,1.0,0.0,0.8,0.0,0.1,0.4,0.1,0.2,0.5,0.7,0.1,0.2,0.5,0.5,0.3,0.3
88,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4,0.0,0.1,0.2,0.1,0.1,0.6,0.4,0.3,0.0,0.2,0.6,0.5,0.4
89,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.6,0.0,0.2,0.2,0.1,0.2,0.5,0.4,0.2,0.1,0.4,0.6,0.5,0.4
90,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6,0.1,0.0,0.0,0.1,0.2,0.4,0.4,0.4,0.0,0.2,0.6,0.6,0.2
91,0.5,0.9,0.0,0.8,0.6,0.0,0.4,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.2,0.2,0.0,0.2,0.0,0.3,0.4,0.7,0.2,0.1,0.3,0.4,0.3,0.1
